Title,1,2,3,4,5,6,7,7A,8,9,10,11,12,13,14,15,18,19,20,21,22,23,24,25,26,27,28,30,31,32,33,34,35,36,37,38,39,40,41,42A,42B,42C,43,44,45,46,47,48,49,50,51,52,54,55,56,57A,57B,58A,58B,59,60,61,62,63,64,65,66A,66B,67,68,69,69A,70,71,72,100
NP24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[5, 17, 349]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[94, 96]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[86, 89, 91, 140]",0,0,0,0,0,0,0,[403],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1, 4, 7, 21, 21, 21, 21, 21, 26, 26, 30, 42, 43, 69, 87, 208, 210, 213, 221, 239, 245, 245, 247, 248, 249, 338, 372, 387]"
NP23,0,0,0,[158],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[19, 19, 503]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[28, 340]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1, 4, 7, 20, 21, 24, 24, 26, 26, 26, 40, 41, 41, 44, 51, 64, 65, 68, 68, 68, 75, 75, 78, 400, 449]"
NP37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[20, 81, 81, 82, 82, 83]",0,0,0,0,0,0,0,0,0,0,0,"[20, 175, 175, 176, 176, 211, 235, 235, 325, 325, 325, 325, 326, 337, 337, 337, 345, 360, 360]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,[285],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1, 4, 7, 19, 19, 20, 20, 20, 22, 22, 30, 30, 32, 32, 32, 33, 46, 51, 60, 82, 84, 100, 174, 175, 176, 195, 203, 210, 232, 258, 264, 298, 300, 303, 318, 324]"
NP25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[15, 15]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1, 4, 7, 16, 17, 18, 19, 20, 21, 22, 22, 27, 27, 28, 33, 39, 39, 39, 46, 46, 53, 72, 97, 104, 104, 120]"
NP22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[20, 325]",0,0,0,0,"[28, 29, 70, 71, 71, 71, 77, 142]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[72, 307]",0,0,0,0,0,0,"[1, 4, 7, 20, 21, 21, 21, 21, 22, 24, 24, 24, 27, 28, 28, 32, 36, 36, 36, 44, 45, 53, 72, 73, 100, 126, 149, 151, 152, 168, 180, 189, 212, 214, 232, 234, 235, 243, 245, 257, 307]"
NP32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[17, 17]","[19, 130, 134, 135]",0,0,0,0,0,0,0,0,0,0,0,"[432, 432, 434, 443, 452]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1, 4, 7, 19, 20, 21, 22, 22, 22, 29, 35, 35, 35, 40, 40, 40, 47, 48, 61, 209, 213, 218, 220, 226, 229, 233, 235, 330, 333, 336, 338, 401, 434, 438, 456]"
NP20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[19],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[5, 14, 15, 287]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1, 4, 7, 16, 17, 17, 18, 18, 18, 19, 19, 20, 20, 31, 38, 43, 91, 188]"
